Channel Id,Channel Url,Channel Title
UC-59uyQUy8SeGlCN1fiDweQ,http://www.youtube.com/channel/UC-59uyQUy8SeGlCN1fiDweQ,Scaler School of Technology
UC-dnW-VyzuXO-aiz3FEhlTA,http://www.youtube.com/channel/UC-dnW-VyzuXO-aiz3FEhlTA,FrugalRepair
UC-rhOR7nrm28cYdqabLwtrQ,http://www.youtube.com/channel/UC-rhOR7nrm28cYdqabLwtrQ,Khulaasa Central
UC01zgjN-4E8lJBxiDtZlyuQ,http://www.youtube.com/channel/UC01zgjN-4E8lJBxiDtZlyuQ,Think RedPill
UC0C-w0YjGpqDXGB8IHb662A,http://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran
UC0HUObs4U2xuyUQK50PLX9Q,http://www.youtube.com/channel/UC0HUObs4U2xuyUQK50PLX9Q,Pawan Please
UC0rpxsHBn1j3kBTtKJ_wQjQ,http://www.youtube.com/channel/UC0rpxsHBn1j3kBTtKJ_wQjQ,Hustle With Harman
UC1-ZdFLBukC6fTZ8QRWvpDw,http://www.youtube.com/channel/UC1-ZdFLBukC6fTZ8QRWvpDw,Sachin Rana [IITB]
UC14aFPpH4jF3FfRQZojCfeg,http://www.youtube.com/channel/UC14aFPpH4jF3FfRQZojCfeg,Words of Wisdom
UC1SxSlZpRMU8-XztiAw4woA,http://www.youtube.com/channel/UC1SxSlZpRMU8-XztiAw4woA,Kealan
UC1VLQPn9cYSqx8plbk9RxxQ,http://www.youtube.com/channel/UC1VLQPn9cYSqx8plbk9RxxQ,The Action Lab
UC1_3-ey7ayD_olcf1H5Lv6w,http://www.youtube.com/channel/UC1_3-ey7ayD_olcf1H5Lv6w,ARJUNA
UC1gUkqb3oV__jVRY53lpZrg,http://www.youtube.com/channel/UC1gUkqb3oV__jVRY53lpZrg,creative explained
UC1yobWoSKkymB8fEIRxLP6Q,http://www.youtube.com/channel/UC1yobWoSKkymB8fEIRxLP6Q,Sarabjeet Sachar
UC2FZQeaJkpnO6IMkQglvPsg,http://www.youtube.com/channel/UC2FZQeaJkpnO6IMkQglvPsg,Mat Armstrong MK2
